"entity_ID","geo_entity","longitude","latitude","area","dist","age_Ma","geology","spec_num","end_num","max_elev","mean_temp","mean_prec","mean_homogeneity"
204,"Fatu Hiva",-138.639836,-10.471635,95.2878,4828.162,1,"volcanic",131,11,910,26.7,1611,NA
206,"Hatutaa",-140.569691,-7.917641,8.4101,4750.986,4.8,"volcanic",31,0,374,26.25,1401,0.1601
207,"Hiva Oa",-139.013922,-9.774777,319.3935,4783.626,2.22,"volcanic",155,19,1103,24.56,2008,0.2744
208,"Mohotani",-138.829615,-9.985292,20.1036,4803.109,2,"volcanic",43,0,476,26.15,1948,0.1617
211,"Nuku Hiva",-140.139323,-8.866239,346.6194,4789.953,4.1,"volcanic",175,33,1089,24.45,1621,0.2806
212,"Tahuata",-139.088564,-9.944988,71.9068,4815.018,2.32,"volcanic",115,7,727,25.63,2120,0.2389
213,"Ua Huka",-139.551964,-8.909323,91.6311,4762.984,3.11,"volcanic",113,6,732,25.61,1389,0.2403
214,"Ua Pou",-140.073942,-9.397857,108.7893,4838.959,5.6,"volcanic",106,5,772,25.33,1592,0.2447
216,"Pitcairn",-130.106263,-25.069647,4.9175,5339.859,0.87,"volcanic",60,9,236,22.2,1825,0.1457
217,"Henderson",-128.322888,-24.376726,44.5528,5252.133,16,"floor",61,6,36,22.82,1653,0.3924
219,"Ducie",-124.783074,-24.680617,1.8199,4967.995,8,"atoll",4,0,NA,22.9,1602,0.3739
278,"Assumption",46.511512,-9.730865,12.0771,649.418,65,"atoll",131,1,11,26.56,1105,0.2414
280,"Astove",47.741723,-10.086604,10.9571,778.004,0.08,"atoll",128,0,6,26.5,1042,0.1336
281,"St Pierre",50.727514,-9.331684,1.8777,1115.141,15,"atoll",30,0,2,26.3,1436,0.2435
286,"African Banks",53.386793,-4.880127,0.0699,1150.794,NA,"fragment",19,0,NA,NA,NA,NA
287,"Remire",53.312336,-5.116641,0.3146,1163.661,NA,"fragment",58,0,NA,26.9,2068,NA
288,"Desroches",53.66904,-5.689396,4.3625,1236.049,0.127,"atoll",58,0,16,26.79,2220,0.2277
289,"Coetivy",56.279994,-7.129637,9.9839,1550.8,0.127,"atoll",71,0,7,26.7,2340,0.1445
290,"Darros",53.298464,-5.415731,1.7555,1186.417,0.127,"atoll",71,0,12,26.8,2137,0.1998
293,"Anegada",-64.337381,18.726917,40.2429,884.343,NA,"shelf",185,2,8,26.81,1165,0.2083
294,"Anguilla",-63.054398,18.214736,74.928,819.509,14.18,"floor",233,1,64,26.73,1121,0.2793
295,"Antigua",-61.798388,17.077293,280.1704,691.405,28.5,"floor",611,0,306,26.54,1222,0.2682
297,"Barbados",-59.55639,13.172262,434.6397,355.48,1.2,"floor",480,1,327,26.37,1550,0.2804
298,"Barbuda",-61.793378,17.631531,144.4143,751.818,2.65,"floor",190,1,40,26.68,1126,0.3576
303,"Cuba",-79.029797,21.625477,110730.9083,197.348,NA,"fragment",5442,2608,1748,25.15,1322,0.3533
307,"Dominica",-61.349988,15.434552,754.2142,496.176,2.6,"volcanic",843,12,1314,24.87,2255,0.3305
310,"Grenada",-61.683776,12.113748,316.6245,137.403,11.5,"volcanic",654,4,653,25.98,1925,0.283
311,"Guadeloupe",-61.575939,16.228266,1450.4857,575.258,2.65,"floor",1126,20,1336,25.75,1618,0.308
312,"Guana Island",-64.570619,18.476401,3.5306,861.97,NA,"volcanic",260,1,49,26.85,1192,0.1807
313,"Hispaniola",-71.282604,18.910761,75186.0645,554.547,NA,"fragment",4256,1748,2967,24.21,1366,0.3823
315,"Jamaica",-77.310484,18.157071,10992.9789,622.567,40,"fragment",2481,740,2097,25.26,1731,0.4208
316,"Jost van Dyke",-64.746853,18.446506,9.2059,860.679,NA,"volcanic",69,0,202,26.8,1173,0.1707
318,"Maria Galante",-61.268569,15.932114,159.8604,569.689,2.65,"floor",252,0,187,26.39,1671,0.3539
319,"Martinique",-61.018115,14.652747,1114.8563,417.453,16,"volcanic",1043,23,1240,25.89,2458,0.2849
322,"Monserrat",-62.189685,16.739452,100.6457,656.186,1.25,"volcanic",494,2,763,25.64,1453,0.2326
324,"Nevis",-62.58646,17.150396,95.3606,700.172,1.25,"volcanic",136,0,660,26.11,1356,0.2994
327,"Saba",-63.237528,17.631469,14.3533,759.705,1.2,"volcanic",506,0,616,26.18,1153,0.1332
329,"St. Barthelemy",-62.829698,17.901978,21.9045,786.911,45,"floor",298,0,137,26.69,1114,0.2077
330,"St. Croix",-64.768456,17.73286,219.6814,778.369,1.2,"floor",608,1,258,26.66,1121,0.2561
331,"St. Eustatius",-62.976283,17.490842,23.4369,741.527,2.6,"volcanic",462,1,392,26.51,1240,0.1901
332,"St. John",-64.736758,18.338353,52.0734,845.214,1.2,"volcanic",541,1,332,26.59,1236,0.2492
333,"St. Kitts",-62.765059,17.339227,171.7599,713.225,2.6,"volcanic",401,0,956,25.69,1362,0.2738
334,"St. Lucia",-60.966774,13.898433,614.1721,341.907,28,"volcanic",888,8,709,26.08,2216,0.3009
335,"St. Martin",-63.062734,18.061742,92.1374,801.671,14.18,"floor",537,2,323,26.6,1122,0.1868
336,"St. Thomas",-64.928694,18.343528,76.2068,847.485,1.2,"volcanic",643,4,377,26.58,1203,0.201
337,"St. Vincent",-61.188975,13.251309,348.6194,272.431,2.6,"volcanic",755,13,1086,25.21,2280,0.2958
339,"Tortola",-64.620064,18.424074,65.171,854.03,NA,"volcanic",505,0,405,26.56,1248,0.2036
343,"Virgin Gorda",-64.399216,18.475855,23.905,856.502,1.2,"volcanic",353,0,332,26.76,1189,0.2111
348,"Socorro",-110.975066,18.791751,135.9957,455.897,1.68,"volcanic",127,35,908,23,754.5,0.2879
363,"Principe",7.397049,1.615394,143.1622,214.851,31,"volcanic",424,34,708,25.55,2008,0.3304
364,"Sao Tomé",6.602256,0.238989,854.7971,269.258,15.7,"volcanic",830,106,1755,24.12,1065,0.3403
365,"Annobon",5.629833,-1.435717,30.5147,357.898,4.8,"volcanic",281,27,NA,25.02,1167,0.2051
368,"Rarotonga",-159.777546,-21.234623,69.1072,4741.414,2.3,"volcanic",158,15,402,23.82,2537,0.263
375,"Wake Island",166.634983,19.292057,8.537,3608.372,NA,"atoll",20,0,7,26.5,884.3,0.1152
380,"Atiu",-158.114432,-19.995684,29.4758,4953.834,8.5,"volcanic",99,0,74,24.88,1887,0.2584
381,"Mangaia",-157.919429,-21.928127,48.5409,4898.338,18.5,"volcanic",113,0,140,23.66,2190,0.3278
384,"Mauke",-157.341429,-20.16117,20.4195,5023.579,6,"volcanic",82,0,29,24.85,1989,0.2629
